ArticleId,UniqueArticleId
1545,0
1546,1
1547,2
1548,3
1550,4
1551,5
1552,6
1556,7
1562,8
1569,9
1570,10
1571,11
1597,12
1601,13
1602,14
1603,15
1604,16
1605,17
1606,18
1619,19
1620,20
1623,21
1624,22
1625,23
1626,24
1627,25
1628,26
1629,27
1631,28
1645,29
1652,30
1655,31
1666,32
1667,33
1668,34
1669,35
1670,36
1672,37
1673,38
1688,39
1689,40
1690,41
1691,42
1692,43
1694,44
1696,45
1697,46
1698,47
1699,48
1701,49
1702,50
1703,51
1704,52
1705,53
1723,54
1724,55
1725,56
1734,57
1746,58
1755,59
1772,60
1779,61
1780,62
1781,63
1787,64
1788,65
1791,66
1798,67
1799,68
1802,69
1806,70
1808,71
1813,72
1818,73
1819,74
1820,75
1823,76
1825,77
1828,78
1829,79
1830,80
1831,81
1832,82
1833,83
1834,84
1835,85
1837,86
1838,87
1849,88
1851,89
1863,90
1870,91
1879,92
1880,93
1881,94
1897,95
1904,96
1911,97
1912,98
1918,99
1920,100
